SEASON_1,TEAM_ID,TEAM_NAME,BASIC_ZONE,FGA,FGM,FG3M,Points
2016,1610612747,Los Angeles Lakers,Left Corner 3,222,72,72,216
2018,1610612747,Los Angeles Lakers,Above the Break 3,1953,659,659,1977
2023,1610612765,Detroit Pistons,Backcourt,13,0,0,0
2004,1610612751,New Jersey Nets,Left Corner 3,80,36,36,108
2025,1610612755,Philadelphia 76ers,Backcourt,25,0,0,0
2022,1610612738,Boston Celtics,Mid-Range,884,349,2,700
2006,1610612740,New Orleans/Oklahoma City Hornets,Above the Break 3,659,217,217,651
2019,1610612742,Dallas Mavericks,Right Corner 3,317,119,119,357
2018,1610612757,Portland Trail Blazers,Mid-Range,1451,612,0,1224
2018,1610612748,Miami Heat,Above the Break 3,1819,645,645,1935
2025,1610612741,Chicago Bulls,In The Paint (Non-RA),1275,636,0,1272
2016,1610612738,Boston Celtics,Above the Break 3,1619,539,539,1617
2010,1610612738,Boston Celtics,Restricted Area,2274,1441,0,2882
2020,1610612766,Charlotte Hornets,Above the Break 3,1739,598,598,1794
2018,1610612753,Orlando Magic,In The Paint (Non-RA),1281,471,0,942
2008,1610612762,Utah Jazz,Left Corner 3,104,39,39,117
2009,1610612753,Orlando Magic,Right Corner 3,314,122,122,366
2023,1610612761,Toronto Raptors,Backcourt,21,0,0,0
2006,1610612739,Cleveland Cavaliers,In The Paint (Non-RA),700,261,0,522
2023,1610612737,Atlanta Hawks,Mid-Range,1207,551,1,1103
2008,1610612751,New Jersey Nets,Right Corner 3,199,85,85,255
2010,1610612766,Charlotte Bobcats,Backcourt,19,1,1,3
2012,1610612744,Golden State Warriors,Above the Break 3,961,351,351,1053
2006,1610612748,Miami Heat,Left Corner 3,241,97,97,291
2007,1610612742,Dallas Mavericks,Left Corner 3,260,101,101,303
2023,1610612754,Indiana Pacers,Backcourt,16,2,2,6
2020,1610612764,Washington Wizards,Backcourt,18,1,1,3
2025,1610612750,Minnesota Timberwolves,Right Corner 3,397,153,153,459
2015,1610612738,Boston Celtics,Backcourt,16,0,0,0
2004,1610612738,Boston Celtics,Above the Break 3,1157,383,383,1149
2005,1610612764,Washington Wizards,Above the Break 3,1168,409,409,1227
2005,1610612749,Milwaukee Bucks,In The Paint (Non-RA),801,328,0,656
2024,1610612747,Los Angeles Lakers,Above the Break 3,1871,704,704,2112
2020,1610612762,Utah Jazz,Right Corner 3,371,158,158,474
2023,1610612756,Phoenix Suns,Right Corner 3,360,139,139,417
2021,1610612751,Brooklyn Nets,Restricted Area,1934,1274,0,2548
2021,1610612751,Brooklyn Nets,Left Corner 3,250,106,106,318
2024,1610612750,Minnesota Timberwolves,Mid-Range,676,264,0,528
2008,1610612739,Cleveland Cavaliers,Above the Break 3,988,341,341,1023
2008,1610612758,Sacramento Kings,Left Corner 3,192,74,74,222
2010,1610612766,Charlotte Bobcats,Right Corner 3,203,79,79,237
2010,1610612758,Sacramento Kings,Restricted Area,2354,1415,0,2830
2018,1610612740,New Orleans Pelicans,Above the Break 3,1719,607,607,1821
2010,1610612737,Atlanta Hawks,Left Corner 3,357,133,133,399
2004,1610612757,Portland Trail Blazers,Backcourt,10,0,0,0
2015,1610612752,New York Knicks,Mid-Range,2389,954,0,1908
2014,1610612749,Milwaukee Bucks,Backcourt,5,0,0,0
2008,1610612766,Charlotte Bobcats,Restricted Area,2272,1323,1,2647
2007,1610612765,Detroit Pistons,Backcourt,13,1,1,3
2013,1610612756,Phoenix Suns,In The Paint (Non-RA),967,330,0,660
2008,1610612738,Boston Celtics,Backcourt,15,0,0,0
2018,1610612738,Boston Celtics,Backcourt,18,0,0,0
2012,1610612738,Boston Celtics,Left Corner 3,184,78,78,234
2014,1610612742,Dallas Mavericks,Left Corner 3,224,93,93,279
2021,1610612740,New Orleans Pelicans,Backcourt,17,3,3,9
2009,1610612760,Oklahoma City Thunder,Left Corner 3,115,45,45,135
2013,1610612758,Sacramento Kings,Mid-Range,1689,601,0,1202
2008,1610612760,Seattle SuperSonics,Right Corner 3,83,34,34,102
2016,1610612753,Orlando Magic,Above the Break 3,1341,470,470,1410
2009,1610612759,San Antonio Spurs,Restricted Area,1790,1079,0,2158
2009,1610612746,Los Angeles Clippers,Mid-Range,2003,743,1,1487
2011,1610612744,Golden State Warriors,In The Paint (Non-RA),1026,358,0,716
2024,1610612759,San Antonio Spurs,Mid-Range,791,294,1,589
2007,1610612758,Sacramento Kings,Restricted Area,2007,1190,0,2380
2022,1610612751,Brooklyn Nets,Restricted Area,2041,1289,0,2578
2021,1610612760,Oklahoma City Thunder,Above the Break 3,1990,662,661,1985
2007,1610612737,Atlanta Hawks,Mid-Range,2316,906,1,1813
2017,1610612760,Oklahoma City Thunder,Above the Break 3,1550,499,499,1497
2025,1610612738,Boston Celtics,In The Paint (Non-RA),1099,499,0,998
2006,1610612753,Orlando Magic,In The Paint (Non-RA),762,300,0,600
2024,1610612763,Memphis Grizzlies,Mid-Range,516,187,0,374
2018,1610612765,Detroit Pistons,Backcourt,19,1,1,3
2017,1610612754,Indiana Pacers,Above the Break 3,1348,494,494,1482
2016,1610612757,Portland Trail Blazers,Mid-Range,1658,701,0,1402
2019,1610612750,Minnesota Timberwolves,Above the Break 3,1794,615,615,1845
2016,1610612737,Atlanta Hawks,Above the Break 3,1736,604,604,1812
2023,1610612753,Orlando Magic,Restricted Area,2213,1481,0,2962
2014,1610612742,Dallas Mavericks,Mid-Range,1894,811,0,1622
2011,1610612758,Sacramento Kings,Restricted Area,2275,1423,0,2846
2005,1610612760,Seattle SuperSonics,In The Paint (Non-RA),883,369,0,738
2023,1610612737,Atlanta Hawks,Left Corner 3,385,139,139,417
2021,1610612738,Boston Celtics,Left Corner 3,293,119,119,357
2008,1610612744,Golden State Warriors,In The Paint (Non-RA),738,286,0,572
2024,1610612746,LA Clippers,Right Corner 3,347,139,139,417
2009,1610612766,Charlotte Bobcats,In The Paint (Non-RA),763,312,0,624
2012,1610612762,Utah Jazz,In The Paint (Non-RA),1053,424,0,848
2012,1610612761,Toronto Raptors,Right Corner 3,140,43,43,129
2006,1610612744,Golden State Warriors,Mid-Range,1987,723,1,1447
2010,1610612765,Detroit Pistons,Backcourt,14,0,0,0
2005,1610612756,Phoenix Suns,Left Corner 3,330,131,130,392
2004,1610612742,Dallas Mavericks,Backcourt,18,0,0,0
2020,1610612745,Houston Rockets,Right Corner 3,447,163,163,489
2009,1610612755,Philadelphia 76ers,Left Corner 3,195,64,64,192
2004,1610612747,Los Angeles Lakers,In The Paint (Non-RA),1019,394,1,789
2018,1610612743,Denver Nuggets,Restricted Area,2349,1489,0,2978
2016,1610612756,Phoenix Suns,Restricted Area,2332,1368,0,2736
2019,1610612766,Charlotte Hornets,Restricted Area,2424,1440,0,2880
2016,1610612750,Minnesota Timberwolves,Backcourt,8,0,0,0
2017,1610612766,Charlotte Hornets,Above the Break 3,2003,701,701,2103
2017,1610612757,Portland Trail Blazers,Right Corner 3,234,95,95,285
2015,1610612754,Indiana Pacers,Mid-Range,2153,864,0,1728
