SEASON_1,TEAM_ID,TEAM_NAME,BASIC_ZONE,FGA,FGM,FG3M,Points
2017,1610612751,Brooklyn Nets,Left Corner 3,300,102,102,306
2007,1610612740,New Orleans/Oklahoma City Hornets,In The Paint (Non-RA),1067,418,0,836
2006,1610612751,New Jersey Nets,Right Corner 3,222,88,86,262
2006,1610612755,Philadelphia 76ers,Right Corner 3,156,66,66,198
2008,1610612739,Cleveland Cavaliers,Mid-Range,2220,822,0,1644
2011,1610612748,Miami Heat,Backcourt,11,1,1,3
2021,1610612766,Charlotte Hornets,Right Corner 3,283,123,123,369
2013,1610612737,Atlanta Hawks,Right Corner 3,251,104,104,312
2010,1610612740,New Orleans Hornets,Mid-Range,2122,855,0,1710
2019,1610612757,Portland Trail Blazers,Above the Break 3,2102,757,757,2271
2018,1610612752,New York Knicks,Backcourt,20,0,0,0
2018,1610612751,Brooklyn Nets,Backcourt,12,0,0,0
2016,1610612746,LA Clippers,Above the Break 3,1615,563,563,1689
2007,1610612756,Phoenix Suns,Restricted Area,2176,1447,0,2894
2015,1610612742,Dallas Mavericks,In The Paint (Non-RA),869,340,0,680
2009,1610612763,Memphis Grizzlies,In The Paint (Non-RA),1121,451,0,902
2017,1610612739,Cleveland Cavaliers,Mid-Range,1395,589,0,1178
2006,1610612744,Golden State Warriors,Right Corner 3,244,86,86,258
2021,1610612741,Chicago Bulls,Mid-Range,844,353,0,706
2017,1610612752,New York Knicks,Left Corner 3,254,106,106,318
2017,1610612758,Sacramento Kings,Backcourt,16,0,0,0
2004,1610612744,Golden State Warriors,In The Paint (Non-RA),1166,432,0,864
2010,1610612757,Portland Trail Blazers,Right Corner 3,206,79,79,237
2013,1610612740,New Orleans Hornets,In The Paint (Non-RA),1118,428,0,856
2013,1610612765,Detroit Pistons,Above the Break 3,1022,368,368,1104
2018,1610612763,Memphis Grizzlies,Backcourt,26,0,0,0
2010,1610612751,New Jersey Nets,Left Corner 3,208,72,72,216
2025,1610612753,Orlando Magic,In The Paint (Non-RA),1324,564,0,1128
2016,1610612764,Washington Wizards,Left Corner 3,253,84,84,252
2018,1610612744,Golden State Warriors,Backcourt,26,0,0,0
2006,1610612737,Atlanta Hawks,Above the Break 3,807,293,291,877
2013,1610612752,New York Knicks,Backcourt,30,2,2,6
2025,1610612748,Miami Heat,In The Paint (Non-RA),1625,736,0,1472
2023,1610612746,LA Clippers,Left Corner 3,392,143,143,429
2025,1610612763,Memphis Grizzlies,Above the Break 3,2261,838,837,2513
2021,1610612750,Minnesota Timberwolves,Above the Break 3,2087,718,718,2154
2024,1610612765,Detroit Pistons,Backcourt,21,0,0,0
2020,1610612759,San Antonio Spurs,Backcourt,13,0,0,0
2022,1610612748,Miami Heat,Right Corner 3,423,182,182,546
2024,1610612766,Charlotte Hornets,Backcourt,21,0,0,0
2021,1610612759,San Antonio Spurs,Left Corner 3,237,85,85,255
2011,1610612742,Dallas Mavericks,In The Paint (Non-RA),965,387,0,774
2013,1610612766,Charlotte Bobcats,Left Corner 3,143,57,57,171
2012,1610612764,Washington Wizards,Mid-Range,1745,650,0,1300
2022,1610612753,Orlando Magic,In The Paint (Non-RA),1352,544,0,1088
2005,1610612758,Sacramento Kings,Right Corner 3,166,72,72,216
2020,1610612754,Indiana Pacers,Right Corner 3,210,91,91,273
2013,1610612754,Indiana Pacers,Left Corner 3,197,67,67,201
2018,1610612754,Indiana Pacers,Mid-Range,1812,772,1,1545
2015,1610612766,Charlotte Hornets,Mid-Range,2344,918,0,1836
2014,1610612752,New York Knicks,Backcourt,21,0,0,0
2013,1610612742,Dallas Mavericks,Backcourt,18,0,0,0
2018,1610612752,New York Knicks,Left Corner 3,239,103,103,309
2007,1610612753,Orlando Magic,In The Paint (Non-RA),845,342,0,684
2007,1610612751,New Jersey Nets,Restricted Area,2169,1259,0,2518
2014,1610612739,Cleveland Cavaliers,Restricted Area,2064,1158,0,2316
2024,1610612745,Houston Rockets,Restricted Area,2307,1476,0,2952
2015,1610612762,Utah Jazz,Right Corner 3,264,94,94,282
2024,1610612738,Boston Celtics,In The Paint (Non-RA),1195,542,0,1084
2013,1610612762,Utah Jazz,Left Corner 3,163,65,65,195
2025,1610612738,Boston Celtics,Left Corner 3,394,146,146,438
2011,1610612752,New York Knicks,Backcourt,12,0,0,0
2008,1610612763,Memphis Grizzlies,Right Corner 3,171,61,61,183
2005,1610612741,Chicago Bulls,In The Paint (Non-RA),1008,386,0,772
2016,1610612737,Atlanta Hawks,Right Corner 3,307,115,114,344
2007,1610612757,Portland Trail Blazers,Mid-Range,2234,888,3,1779
2009,1610612748,Miami Heat,Mid-Range,2290,934,2,1870
2019,1610612756,Phoenix Suns,Backcourt,14,1,1,3
2012,1610612746,Los Angeles Clippers,Right Corner 3,210,67,67,201
2025,1610612745,Houston Rockets,Right Corner 3,349,130,130,390
2021,1610612742,Dallas Mavericks,Left Corner 3,299,112,112,336
2009,1610612747,Los Angeles Lakers,Mid-Range,2030,834,0,1668
2008,1610612738,Boston Celtics,In The Paint (Non-RA),705,300,0,600
2011,1610612740,New Orleans Hornets,Above the Break 3,815,293,293,879
2004,1610612763,Memphis Grizzlies,Restricted Area,2349,1395,0,2790
2011,1610612755,Philadelphia 76ers,Right Corner 3,151,55,55,165
2018,1610612740,New Orleans Pelicans,Right Corner 3,271,109,109,327
2016,1610612752,New York Knicks,Restricted Area,1886,1078,0,2156
2019,1610612760,Oklahoma City Thunder,Restricted Area,2785,1722,0,3444
2008,1610612756,Phoenix Suns,Mid-Range,2014,876,0,1752
2004,1610612757,Portland Trail Blazers,In The Paint (Non-RA),1034,419,0,838
2006,1610612764,Washington Wizards,Restricted Area,2102,1279,0,2558
2012,1610612749,Milwaukee Bucks,Mid-Range,1759,693,0,1386
2012,1610612745,Houston Rockets,Above the Break 3,932,308,308,924
2016,1610612758,Sacramento Kings,Restricted Area,2492,1561,0,3122
2021,1610612757,Portland Trail Blazers,Above the Break 3,2416,931,931,2793
2020,1610612744,Golden State Warriors,Right Corner 3,189,71,71,213
2019,1610612760,Oklahoma City Thunder,Left Corner 3,338,118,118,354
2004,1610612763,Memphis Grizzlies,Left Corner 3,221,76,76,228
2005,1610612753,Orlando Magic,Left Corner 3,93,34,34,102
2025,1610612753,Orlando Magic,Left Corner 3,422,140,140,420
2023,1610612757,Portland Trail Blazers,In The Paint (Non-RA),1051,438,0,876
2023,1610612742,Dallas Mavericks,Restricted Area,1807,1222,0,2444
2010,1610612745,Houston Rockets,Mid-Range,1669,644,0,1288
2022,1610612757,Portland Trail Blazers,Mid-Range,806,325,4,654
2013,1610612751,Brooklyn Nets,Mid-Range,1554,616,0,1232
2006,1610612737,Atlanta Hawks,Mid-Range,2173,855,1,1711
2005,1610612764,Washington Wizards,Right Corner 3,140,52,52,156
2024,1610612748,Miami Heat,Right Corner 3,399,153,153,459
2019,1610612765,Detroit Pistons,In The Paint (Non-RA),1219,451,0,902
2004,1610612759,San Antonio Spurs,Restricted Area,2026,1230,0,2460
2007,1610612755,Philadelphia 76ers,Right Corner 3,95,36,36,108
2012,1610612763,Memphis Grizzlies,In The Paint (Non-RA),1051,411,0,822
2020,1610612738,Boston Celtics,Mid-Range,814,347,0,694
2021,1610612762,Utah Jazz,Restricted Area,1631,1062,0,2124
2012,1610612739,Cleveland Cavaliers,Backcourt,6,0,0,0
2024,1610612742,Dallas Mavericks,Restricted Area,1933,1367,0,2734
2024,1610612741,Chicago Bulls,Backcourt,11,0,0,0
2022,1610612755,Philadelphia 76ers,In The Paint (Non-RA),1336,552,0,1104
2015,1610612749,Milwaukee Bucks,Backcourt,4,0,0,0
2008,1610612761,Toronto Raptors,Backcourt,19,3,3,9
2013,1610612738,Boston Celtics,Backcourt,22,0,0,0
2011,1610612755,Philadelphia 76ers,Above the Break 3,916,315,315,945
2004,1610612756,Phoenix Suns,Left Corner 3,197,77,77,231
2016,1610612751,Brooklyn Nets,In The Paint (Non-RA),1389,602,0,1204
2007,1610612738,Boston Celtics,Mid-Range,2082,790,1,1581
2014,1610612743,Denver Nuggets,Above the Break 3,1448,497,497,1491
2005,1610612752,New York Knicks,Restricted Area,2055,1192,0,2384
2016,1610612746,LA Clippers,Right Corner 3,246,107,107,321
2007,1610612754,Indiana Pacers,Backcourt,11,2,2,6
2012,1610612764,Washington Wizards,Restricted Area,1811,1130,0,2260
2005,1610612763,Memphis Grizzlies,Restricted Area,2318,1330,0,2660
2013,1610612761,Toronto Raptors,Backcourt,9,0,0,0
2005,1610612765,Detroit Pistons,Left Corner 3,178,71,71,213
2010,1610612747,Los Angeles Lakers,Mid-Range,1987,818,0,1636
2014,1610612758,Sacramento Kings,Restricted Area,2089,1297,0,2594
2012,1610612758,Sacramento Kings,Above the Break 3,928,286,286,858
2004,1610612738,Boston Celtics,In The Paint (Non-RA),746,280,0,560
2009,1610612741,Chicago Bulls,In The Paint (Non-RA),649,228,0,456
2009,1610612754,Indiana Pacers,Mid-Range,2167,866,1,1733
2005,1610612738,Boston Celtics,Right Corner 3,223,82,82,246
2020,1610612745,Houston Rockets,Restricted Area,2180,1398,0,2796
2025,1610612747,Los Angeles Lakers,Left Corner 3,425,155,155,465
2020,1610612747,Los Angeles Lakers,In The Paint (Non-RA),812,310,0,620
2008,1610612766,Charlotte Bobcats,Mid-Range,2059,778,0,1556
2018,1610612739,Cleveland Cavaliers,Restricted Area,2222,1523,0,3046
2023,1610612761,Toronto Raptors,Right Corner 3,363,127,127,381
2015,1610612764,Washington Wizards,Right Corner 3,184,76,76,228
2020,1610612752,New York Knicks,Above the Break 3,1450,478,478,1434
2015,1610612753,Orlando Magic,Mid-Range,1662,672,0,1344
2012,1610612737,Atlanta Hawks,Restricted Area,1646,1016,0,2032
2008,1610612754,Indiana Pacers,Right Corner 3,201,80,80,240
2019,1610612745,Houston Rockets,Left Corner 3,384,142,142,426
2004,1610612739,Cleveland Cavaliers,Restricted Area,2321,1309,0,2618
2024,1610612756,Phoenix Suns,Above the Break 3,1981,741,741,2223
2024,1610612755,Philadelphia 76ers,Right Corner 3,305,124,124,372
2023,1610612740,New Orleans Pelicans,Above the Break 3,1850,675,674,2024
2011,1610612765,Detroit Pistons,Above the Break 3,767,281,281,843
2009,1610612751,New Jersey Nets,Backcourt,9,0,0,0
2009,1610612747,Los Angeles Lakers,Backcourt,14,0,0,0
2005,1610612746,Los Angeles Clippers,Mid-Range,2630,1058,0,2116
2010,1610612754,Indiana Pacers,Right Corner 3,181,66,66,198
2021,1610612745,Houston Rockets,Left Corner 3,375,142,142,426
2016,1610612764,Washington Wizards,Right Corner 3,260,112,112,336
2007,1610612761,Toronto Raptors,Mid-Range,2520,1053,0,2106
2010,1610612755,Philadelphia 76ers,Right Corner 3,171,73,73,219
2012,1610612756,Phoenix Suns,Backcourt,11,0,0,0
2019,1610612737,Atlanta Hawks,In The Paint (Non-RA),1113,421,0,842
2018,1610612760,Oklahoma City Thunder,Mid-Range,1547,592,3,1187
2005,1610612751,New Jersey Nets,Mid-Range,2633,1041,0,2082
2019,1610612739,Cleveland Cavaliers,Right Corner 3,228,73,73,219
2018,1610612743,Denver Nuggets,Right Corner 3,220,100,100,300
2012,1610612740,New Orleans Hornets,Left Corner 3,103,37,37,111
2007,1610612756,Phoenix Suns,Mid-Range,1969,809,0,1618
2014,1610612757,Portland Trail Blazers,Left Corner 3,304,133,133,399
2018,1610612758,Sacramento Kings,In The Paint (Non-RA),1465,566,0,1132
2014,1610612743,Denver Nuggets,Backcourt,21,0,0,0
2014,1610612761,Toronto Raptors,Right Corner 3,223,85,85,255
2011,1610612749,Milwaukee Bucks,In The Paint (Non-RA),975,369,0,738
2011,1610612766,Charlotte Bobcats,Left Corner 3,115,35,35,105
2012,1610612755,Philadelphia 76ers,Restricted Area,1488,896,0,1792
2008,1610612749,Milwaukee Bucks,Left Corner 3,181,73,73,219
2012,1610612745,Houston Rockets,Backcourt,9,0,0,0
2016,1610612745,Houston Rockets,Backcourt,22,0,0,0
2023,1610612745,Houston Rockets,In The Paint (Non-RA),1608,663,0,1326
2021,1610612744,Golden State Warriors,Right Corner 3,296,123,123,369
2015,1610612744,Golden State Warriors,In The Paint (Non-RA),1043,408,0,816
2021,1610612745,Houston Rockets,Above the Break 3,2202,739,739,2217
2017,1610612751,Brooklyn Nets,Right Corner 3,274,114,114,342
2017,1610612746,LA Clippers,Right Corner 3,235,92,92,276
2008,1610612749,Milwaukee Bucks,Above the Break 3,946,309,309,927
2025,1610612742,Dallas Mavericks,Above the Break 3,2020,729,729,2187
2015,1610612761,Toronto Raptors,Mid-Range,1589,620,0,1240
2022,1610612762,Utah Jazz,Mid-Range,438,176,4,356
2022,1610612751,Brooklyn Nets,Mid-Range,1310,618,0,1236
2015,1610612746,Los Angeles Clippers,Mid-Range,2000,867,0,1734
2007,1610612745,Houston Rockets,Backcourt,7,1,1,3
2022,1610612760,Oklahoma City Thunder,Mid-Range,587,229,1,459
2007,1610612742,Dallas Mavericks,Restricted Area,1795,1073,0,2146
2007,1610612753,Orlando Magic,Mid-Range,2012,766,1,1533
2023,1610612740,New Orleans Pelicans,Left Corner 3,281,108,108,324
2017,1610612739,Cleveland Cavaliers,Left Corner 3,439,192,192,576
2010,1610612766,Charlotte Bobcats,Mid-Range,1691,630,0,1260
2017,1610612743,Denver Nuggets,Above the Break 3,1878,694,694,2082
2011,1610612766,Charlotte Bobcats,Above the Break 3,958,308,308,924
2023,1610612745,Houston Rockets,Backcourt,14,0,0,0
2019,1610612750,Minnesota Timberwolves,Restricted Area,2410,1515,0,3030
2018,1610612741,Chicago Bulls,Right Corner 3,237,88,88,264
2023,1610612764,Washington Wizards,Restricted Area,1972,1419,0,2838
2013,1610612756,Phoenix Suns,Left Corner 3,184,68,68,204
2005,1610612739,Cleveland Cavaliers,Mid-Range,2544,964,1,1929
2023,1610612762,Utah Jazz,In The Paint (Non-RA),1696,801,0,1602
2015,1610612742,Dallas Mavericks,Left Corner 3,263,106,106,318
2019,1610612745,Houston Rockets,Above the Break 3,2773,975,975,2925
2014,1610612757,Portland Trail Blazers,Above the Break 3,1521,562,562,1686
2009,1610612745,Houston Rockets,Restricted Area,2098,1184,0,2368
2021,1610612750,Minnesota Timberwolves,Restricted Area,2244,1382,0,2764
2022,1610612742,Dallas Mavericks,Restricted Area,1711,1187,0,2374
2023,1610612758,Sacramento Kings,Mid-Range,675,302,3,607
2012,1610612759,San Antonio Spurs,Backcourt,6,0,0,0
2008,1610612755,Philadelphia 76ers,Left Corner 3,122,40,40,120
2016,1610612742,Dallas Mavericks,Mid-Range,1735,700,0,1400
2021,1610612752,New York Knicks,Backcourt,5,0,0,0
2011,1610612762,Utah Jazz,Left Corner 3,116,44,44,132
2024,1610612757,Portland Trail Blazers,Mid-Range,890,367,0,734
2010,1610612748,Miami Heat,Backcourt,12,0,0,0
2004,1610612746,Los Angeles Clippers,Restricted Area,2313,1317,0,2634
2009,1610612737,Atlanta Hawks,Above the Break 3,1107,401,401,1203
2016,1610612740,New Orleans Pelicans,Above the Break 3,1478,549,549,1647
2017,1610612766,Charlotte Hornets,Right Corner 3,142,55,55,165
2007,1610612739,Cleveland Cavaliers,Above the Break 3,895,311,311,933
2010,1610612737,Atlanta Hawks,Restricted Area,2155,1345,0,2690
2016,1610612763,Memphis Grizzlies,Right Corner 3,202,60,60,180
2022,1610612738,Boston Celtics,Right Corner 3,350,157,157,471
2005,1610612742,Dallas Mavericks,Backcourt,20,0,0,0
2009,1610612750,Minnesota Timberwolves,In The Paint (Non-RA),898,363,0,726
2008,1610612751,New Jersey Nets,Left Corner 3,183,76,76,228
2012,1610612752,New York Knicks,Above the Break 3,1144,384,384,1152
2008,1610612766,Charlotte Bobcats,Above the Break 3,912,332,332,996
2011,1610612764,Washington Wizards,Left Corner 3,218,74,74,222
2010,1610612747,Los Angeles Lakers,Above the Break 3,1167,384,384,1152
2018,1610612753,Orlando Magic,Restricted Area,2132,1398,0,2796
2017,1610612741,Chicago Bulls,Backcourt,9,0,0,0
2005,1610612743,Denver Nuggets,Mid-Range,2507,933,0,1866
2023,1610612763,Memphis Grizzlies,Right Corner 3,292,102,102,306
2022,1610612741,Chicago Bulls,Right Corner 3,317,139,139,417
2021,1610612743,Denver Nuggets,In The Paint (Non-RA),1219,562,0,1124
2006,1610612758,Sacramento Kings,Backcourt,9,0,0,0
2009,1610612740,New Orleans Hornets,Above the Break 3,1000,343,343,1029
2025,1610612750,Minnesota Timberwolves,Left Corner 3,460,189,189,567
2020,1610612761,Toronto Raptors,Above the Break 3,2032,759,759,2277
2004,1610612757,Portland Trail Blazers,Mid-Range,2274,885,1,1771
2021,1610612761,Toronto Raptors,Backcourt,11,0,0,0
2013,1610612747,Los Angeles Lakers,In The Paint (Non-RA),973,373,0,746
2012,1610612755,Philadelphia 76ers,Mid-Range,2095,839,0,1678
2025,1610612750,Minnesota Timberwolves,Above the Break 3,2387,891,891,2673
2007,1610612742,Dallas Mavericks,Mid-Range,2375,1029,2,2060
2020,1610612761,Toronto Raptors,Left Corner 3,320,124,124,372
2020,1610612742,Dallas Mavericks,Backcourt,19,0,0,0
2019,1610612762,Utah Jazz,Left Corner 3,424,168,168,504
2004,1610612737,Atlanta Hawks,Restricted Area,2072,1179,0,2358
2014,1610612742,Dallas Mavericks,Restricted Area,2000,1274,0,2548
2011,1610612754,Indiana Pacers,Mid-Range,2125,841,0,1682
2020,1610612757,Portland Trail Blazers,Restricted Area,2050,1239,0,2478
2005,1610612758,Sacramento Kings,Left Corner 3,204,82,82,246
2010,1610612745,Houston Rockets,Backcourt,15,0,0,0
2022,1610612737,Atlanta Hawks,Mid-Range,1074,474,1,949
2019,1610612744,Golden State Warriors,Mid-Range,1604,752,0,1504
2012,1610612739,Cleveland Cavaliers,Left Corner 3,148,53,53,159
2004,1610612752,New York Knicks,Restricted Area,1750,992,0,1984
2005,1610612765,Detroit Pistons,Right Corner 3,120,37,37,111
2007,1610612751,New Jersey Nets,Mid-Range,1966,803,1,1607
2021,1610612757,Portland Trail Blazers,Backcourt,10,0,0,0
2023,1610612748,Miami Heat,Left Corner 3,417,151,151,453
2020,1610612748,Miami Heat,Restricted Area,1815,1214,0,2428
2024,1610612765,Detroit Pistons,Mid-Range,934,398,0,796
2023,1610612760,Oklahoma City Thunder,Restricted Area,2543,1589,0,3178
2021,1610612750,Minnesota Timberwolves,In The Paint (Non-RA),988,393,0,786
2009,1610612761,Toronto Raptors,Backcourt,16,0,0,0
2025,1610612763,Memphis Grizzlies,In The Paint (Non-RA),2037,930,0,1860
2025,1610612760,Oklahoma City Thunder,In The Paint (Non-RA),1596,745,0,1490
2021,1610612759,San Antonio Spurs,In The Paint (Non-RA),1288,539,0,1078
2004,1610612741,Chicago Bulls,Backcourt,10,1,1,3
2025,1610612751,Brooklyn Nets,Restricted Area,2005,1256,0,2512
2010,1610612765,Detroit Pistons,In The Paint (Non-RA),805,321,0,642
2009,1610612759,San Antonio Spurs,In The Paint (Non-RA),817,362,0,724
2004,1610612748,Miami Heat,Right Corner 3,144,58,58,174
2025,1610612744,Golden State Warriors,Restricted Area,1825,1212,0,2424
2007,1610612748,Miami Heat,Left Corner 3,221,79,79,237
2004,1610612757,Portland Trail Blazers,Right Corner 3,118,45,45,135
2023,1610612764,Washington Wizards,Above the Break 3,1983,681,681,2043
2020,1610612755,Philadelphia 76ers,In The Paint (Non-RA),1103,457,0,914
2018,1610612749,Milwaukee Bucks,Mid-Range,1415,598,1,1197
2006,1610612750,Minnesota Timberwolves,Restricted Area,1868,1114,1,2229
2007,1610612750,Minnesota Timberwolves,Right Corner 3,148,55,55,165
2009,1610612743,Denver Nuggets,In The Paint (Non-RA),696,273,0,546
2005,1610612758,Sacramento Kings,Above the Break 3,1015,368,368,1104
2009,1610612738,Boston Celtics,Left Corner 3,246,103,103,309
2013,1610612745,Houston Rockets,Right Corner 3,354,138,138,414
2018,1610612740,New Orleans Pelicans,Mid-Range,1267,516,1,1033
2016,1610612749,Milwaukee Bucks,Restricted Area,2704,1625,0,3250
2021,1610612738,Boston Celtics,Restricted Area,1739,1157,0,2314
2017,1610612755,Philadelphia 76ers,Mid-Range,1229,439,0,878
2006,1610612737,Atlanta Hawks,In The Paint (Non-RA),841,320,0,640
2011,1610612746,Los Angeles Clippers,Left Corner 3,180,64,64,192
2025,1610612745,Houston Rockets,Mid-Range,847,335,0,670
2006,1610612752,New York Knicks,Restricted Area,2469,1392,0,2784
2025,1610612761,Toronto Raptors,In The Paint (Non-RA),1577,664,0,1328
2013,1610612761,Toronto Raptors,Restricted Area,1877,1170,0,2340
2019,1610612762,Utah Jazz,Above the Break 3,1934,675,675,2025
2006,1610612757,Portland Trail Blazers,In The Paint (Non-RA),806,303,0,606
2025,1610612757,Portland Trail Blazers,Left Corner 3,371,128,128,384
2006,1610612745,Houston Rockets,Mid-Range,2178,852,2,1706
2011,1610612758,Sacramento Kings,Right Corner 3,206,83,83,249
2019,1610612751,Brooklyn Nets,Right Corner 3,304,109,109,327
2017,1610612763,Memphis Grizzlies,Above the Break 3,1702,590,590,1770
2024,1610612764,Washington Wizards,Backcourt,16,1,1,3
2023,1610612749,Milwaukee Bucks,In The Paint (Non-RA),1088,468,0,936
2007,1610612742,Dallas Mavericks,Right Corner 3,215,76,76,228
2013,1610612743,Denver Nuggets,Backcourt,21,0,0,0
2025,1610612759,San Antonio Spurs,Mid-Range,749,306,0,612
2014,1610612738,Boston Celtics,Backcourt,15,0,0,0
2008,1610612764,Washington Wizards,Restricted Area,2024,1244,0,2488
2004,1610612755,Philadelphia 76ers,Mid-Range,2305,874,0,1748
2009,1610612738,Boston Celtics,Above the Break 3,924,347,347,1041
2017,1610612760,Oklahoma City Thunder,Left Corner 3,253,92,92,276
2007,1610612744,Golden State Warriors,Backcourt,16,0,0,0
2005,1610612761,Toronto Raptors,Mid-Range,2265,909,2,1820
2014,1610612740,New Orleans Pelicans,In The Paint (Non-RA),1076,409,0,818
2018,1610612745,Houston Rockets,Right Corner 3,433,168,168,504
2012,1610612742,Dallas Mavericks,Mid-Range,1630,669,0,1338
2006,1610612761,Toronto Raptors,In The Paint (Non-RA),811,349,0,698
2011,1610612746,Los Angeles Clippers,Above the Break 3,1088,378,378,1134
2016,1610612761,Toronto Raptors,Right Corner 3,240,104,103,311
2007,1610612748,Miami Heat,Above the Break 3,1098,371,371,1113
2008,1610612751,New Jersey Nets,Above the Break 3,1026,336,336,1008
2023,1610612753,Orlando Magic,Right Corner 3,246,98,98,294
2006,1610612749,Milwaukee Bucks,Backcourt,2,0,0,0
2013,1610612741,Chicago Bulls,Right Corner 3,130,43,43,129
2011,1610612744,Golden State Warriors,Above the Break 3,1199,458,458,1374
2011,1610612750,Minnesota Timberwolves,In The Paint (Non-RA),1333,501,0,1002
2007,1610612762,Utah Jazz,Restricted Area,2412,1472,0,2944
2007,1610612751,New Jersey Nets,Right Corner 3,234,94,94,282
2005,1610612763,Memphis Grizzlies,Backcourt,15,0,0,0
2022,1610612738,Boston Celtics,In The Paint (Non-RA),1270,535,0,1070
2014,1610612756,Phoenix Suns,Above the Break 3,1467,534,534,1602
2017,1610612763,Memphis Grizzlies,Left Corner 3,218,92,92,276
2019,1610612744,Golden State Warriors,Right Corner 3,269,113,113,339
2018,1610612754,Indiana Pacers,Left Corner 3,242,91,91,273
2022,1610612755,Philadelphia 76ers,Left Corner 3,308,123,123,369
2020,1610612737,Atlanta Hawks,Restricted Area,1958,1255,0,2510
2025,1610612760,Oklahoma City Thunder,Mid-Range,829,371,0,742
2022,1610612757,Portland Trail Blazers,Backcourt,11,0,0,0
2021,1610612759,San Antonio Spurs,Restricted Area,1880,1182,0,2364
2017,1610612760,Oklahoma City Thunder,Backcourt,19,2,2,6
2007,1610612750,Minnesota Timberwolves,Mid-Range,2778,1179,0,2358
2015,1610612738,Boston Celtics,Above the Break 3,1573,500,500,1500
2021,1610612757,Portland Trail Blazers,Right Corner 3,280,97,97,291
2020,1610612764,Washington Wizards,Above the Break 3,1905,699,699,2097
2013,1610612752,New York Knicks,Left Corner 3,328,122,122,366
2007,1610612755,Philadelphia 76ers,Backcourt,16,0,0,0
2004,1610612749,Milwaukee Bucks,Above the Break 3,821,298,298,894
2022,1610612761,Toronto Raptors,Above the Break 3,2065,689,689,2067
2007,1610612741,Chicago Bulls,Left Corner 3,156,61,61,183
2014,1610612739,Cleveland Cavaliers,Right Corner 3,203,68,68,204
2025,1610612755,Philadelphia 76ers,Above the Break 3,2368,791,791,2373
2004,1610612758,Sacramento Kings,Mid-Range,2450,995,0,1990
2009,1610612742,Dallas Mavericks,Right Corner 3,217,70,70,210
2004,1610612752,New York Knicks,Mid-Range,2648,1062,0,2124
2010,1610612741,Chicago Bulls,Restricted Area,2293,1307,0,2614
2012,1610612766,Charlotte Bobcats,Right Corner 3,71,22,22,66
2012,1610612758,Sacramento Kings,Right Corner 3,189,66,66,198
2010,1610612766,Charlotte Bobcats,In The Paint (Non-RA),671,258,0,516
2015,1610612744,Golden State Warriors,Restricted Area,2234,1448,0,2896
2021,1610612766,Charlotte Hornets,Restricted Area,2078,1252,0,2504
2019,1610612764,Washington Wizards,Right Corner 3,324,132,132,396
2019,1610612754,Indiana Pacers,In The Paint (Non-RA),1058,451,0,902
2018,1610612766,Charlotte Hornets,Mid-Range,1546,580,0,1160
2016,1610612753,Orlando Magic,Backcourt,21,0,0,0
2023,1610612761,Toronto Raptors,Above the Break 3,1869,612,611,1835
2015,1610612764,Washington Wizards,Above the Break 3,977,353,353,1059
2004,1610612746,Los Angeles Clippers,Mid-Range,2175,747,1,1495
2013,1610612760,Oklahoma City Thunder,Mid-Range,1876,782,0,1564
2009,1610612743,Denver Nuggets,Left Corner 3,147,50,50,150
2011,1610612741,Chicago Bulls,Mid-Range,2063,814,0,1628
2007,1610612752,New York Knicks,Mid-Range,1607,579,3,1161
2020,1610612766,Charlotte Hornets,Backcourt,14,0,0,0
2004,1610612753,Orlando Magic,Restricted Area,1823,995,0,1990
2010,1610612760,Oklahoma City Thunder,Mid-Range,2240,880,0,1760
2013,1610612744,Golden State Warriors,Left Corner 3,193,83,83,249
2012,1610612742,Dallas Mavericks,In The Paint (Non-RA),867,319,0,638
2010,1610612757,Portland Trail Blazers,Restricted Area,1903,1178,0,2356
2024,1610612751,Brooklyn Nets,In The Paint (Non-RA),1387,565,0,1130
2011,1610612751,New Jersey Nets,Right Corner 3,157,57,57,171
2019,1610612756,Phoenix Suns,Right Corner 3,296,96,96,288
2006,1610612765,Detroit Pistons,Restricted Area,1793,1087,0,2174
2013,1610612737,Atlanta Hawks,Restricted Area,2057,1346,0,2692
2019,1610612743,Denver Nuggets,Left Corner 3,288,111,111,333
2025,1610612741,Chicago Bulls,Mid-Range,528,196,1,393
2007,1610612756,Phoenix Suns,Right Corner 3,278,117,117,351
2022,1610612764,Washington Wizards,Restricted Area,2025,1417,0,2834
2011,1610612753,Orlando Magic,In The Paint (Non-RA),845,335,0,670
2018,1610612747,Los Angeles Lakers,In The Paint (Non-RA),1146,432,0,864
2005,1610612759,San Antonio Spurs,Restricted Area,2125,1303,0,2606
2022,1610612746,LA Clippers,In The Paint (Non-RA),1348,599,0,1198
2007,1610612764,Washington Wizards,Backcourt,8,1,1,3
2020,1610612738,Boston Celtics,Left Corner 3,266,112,112,336
2019,1610612754,Indiana Pacers,Left Corner 3,286,124,124,372
2007,1610612743,Denver Nuggets,Backcourt,16,0,0,0
2013,1610612758,Sacramento Kings,In The Paint (Non-RA),1148,456,0,912
2013,1610612751,Brooklyn Nets,Left Corner 3,354,142,142,426
2019,1610612766,Charlotte Hornets,In The Paint (Non-RA),1169,478,0,956
2007,1610612747,Los Angeles Lakers,Above the Break 3,1300,448,448,1344
2015,1610612743,Denver Nuggets,Backcourt,22,1,1,3
