SEASON_1,TEAM_ID,TEAM_NAME,BASIC_ZONE,FGA,FGM,FG3M,Points,PPS,eFG,zone_share,league_efg_zone,league_zone_share,efg_vs_league_zone
2013,1610612750,Minnesota Timberwolves,Restricted Area,2406,1421,0,2842,1.1812136325852036,0.59060681629260181,0.35899731423455683,0.60464202011038026,0.32808477073504683,-1.4035203817778452E-2
2013,1610612750,Minnesota Timberwolves,Right Corner 3,141,48,48,144,1.0212765957446808,0.51063829787234039,2.1038495971351837E-2,0.58982082174853256,3.2116440700668221E-2,-7.9182523876192179E-2
2013,1610612750,Minnesota Timberwolves,Above the Break 3,1121,327,327,981,0.87511150758251566,0.43755575379125783,0.1672635034318114,0.5264679905410411,0.17412032007302347,-8.8912236749783269E-2
2013,1610612758,Sacramento Kings,Right Corner 3,248,97,97,291,1.1733870967741935,0.58669354838709675,3.5921205098493628E-2,0.58982082174853256,3.2116440700668221E-2,-3.1272733614358117E-3
2013,1610612758,Sacramento Kings,Above the Break 3,1204,431,431,1293,1.073920265780731,0.53696013289036548,0.17439165701042875,0.5264679905410411,0.17412032007302347,1.0492142349324385E-2
2013,1610612758,Sacramento Kings,In The Paint (Non-RA),1148,456,0,912,0.79442508710801396,0.39721254355400698,0.16628041714947855,0.38451828602620086,0.14541197247729179,1.2694257527806119E-2
2013,1610612758,Sacramento Kings,Left Corner 3,214,81,81,243,1.1355140186915889,0.56775700934579443,3.0996523754345306E-2,0.57950680272108845,3.5003646213147201E-2,-1.1749793375294026E-2
2013,1610612758,Sacramento Kings,Backcourt,15,1,1,3,0.20000000000000001,0.10000000000000001,2.1726535341830824E-3,2.8571428571428571E-2,2.0835503698301908E-3,7.1428571428571438E-2
2013,1610612758,Sacramento Kings,Mid-Range,1689,601,0,1202,0.71166370633510956,0.35583185316755478,0.24464078794901506,0.3926913441830317,0.28317929943099229,-0.03685949101547692
2013,1610612758,Sacramento Kings,Restricted Area,2386,1419,0,2838,1.1894383906119028,0.59471919530595141,0.34559675550405561,0.60464202011038026,0.32808477073504683,-9.9228248044288536E-3
