SEASON_1,BASIC_ZONE,FGA,FGM,FG3M,Points,PPS,eFG,league_zone_share
2007,Backcourt,376,10,10,30,7.9787234042553196E-2,3.9893617021276598E-2,1.9176628993430984E-3
2007,Restricted Area,64492,38707,1,77415,1.2003814426595547,0.60019072132977735,0.32891998857562527
2007,Above the Break 3,29524,10398,10396,31192,1.0564964097005827,0.52824820485029134,0.15057733893671713
2007,Left Corner 3,6296,2420,2418,7258,1.1527954256670903,0.57639771283354513,3.2110653229425926E-2
2008,Right Corner 3,5822,2327,2321,6975,1.1980419099965647,0.59902095499828234,2.9037261659542846E-2
2008,Above the Break 3,31841,11284,11281,33849,1.0630633460004397,0.53153167300021986,0.15880718799407484
2008,Restricted Area,64133,38456,8,76920,1.1993825331732493,0.59969126658662464,0.31986374132797341
2008,Backcourt,468,10,10,30,6.4102564102564097E-2,3.2051282051282048E-2,2.3341529468680956E-3
2008,In The Paint (Non-RA),25911,10585,0,21170,0.81702751727065726,0.40851375863532863,0.1292312756544855
2008,Left Corner 3,6340,2479,2479,7437,1.1730283911671924,0.58651419558359619,3.1620789921247276E-2
2008,Mid-Range,65986,26528,25,53081,0.80442821204497927,0.40221410602248964,0.32910559049580801
2009,Left Corner 3,6748,2657,2657,7971,1.1812388855957321,0.59061944279786605,3.3904436517107971E-2
2009,Above the Break 3,31338,11307,11304,33918,1.0823281638904845,0.54116408194524224,0.15745365020348692
2009,In The Paint (Non-RA),25414,10478,0,20956,0.82458487447863382,0.41229243723931691,0.12768929307139626
2009,Restricted Area,65152,38818,3,77639,1.191659503929273,0.5958297519646365,0.32734763603476863
2009,Right Corner 3,5943,2346,2342,7034,1.1835773178529363,0.59178865892646815,2.9859820127618952E-2
2009,Backcourt,445,10,10,30,0.06741573033707865,3.3707865168539325E-2,2.2358438426367884E-3
2009,Mid-Range,63990,25686,28,51400,0.80325050789185815,0.40162525394592907,0.32150932020298445
2010,Restricted Area,66762,40450,0,80900,1.211767172942692,0.60588358647134599,0.33220544768766858
2010,Left Corner 3,6263,2452,2452,7356,1.1745170046303688,0.58725850231518439,3.1164475582934427E-2
2010,Above the Break 3,32238,11145,11145,33435,1.0371300949190396,0.51856504745951981,0.16041519461003353
2010,Mid-Range,63169,25277,0,50554,0.80029761433614588,0.40014880716807294,0.31432680154852066
2010,Right Corner 3,5633,2199,2198,6596,1.1709568613527428,0.5854784306763714,2.8029616950130867E-2
