SEASON_1,TEAM_ID,TEAM_NAME,FGA,FGM,FG3M,Points,PPS,eFG
2017,1610612761,Toronto Raptors,6914,3211,725,7147,1.0336997396586636,0.51684986982933179
2010,1610612758,Sacramento Kings,6894,3143,481,6767,0.9815781839280534,0.4907890919640267
2025,1610612761,Toronto Raptors,7462,3414,969,7797,1.0448941302599839,0.52244706512999195
2004,1610612748,Miami Heat,6417,2729,485,5943,0.92613370733987843,0.46306685366993922
2014,1610612765,Detroit Pistons,7123,3181,506,6868,0.96420047732696901,0.4821002386634845
2020,1610612742,Dallas Mavericks,6772,3124,1136,7384,1.0903721204961607,0.54518606024808036
2020,1610612743,Denver Nuggets,6488,3069,801,6939,1.0695129469790383,0.53475647348951916
2019,1610612753,Orlando Magic,7307,3316,937,7569,1.0358560284658547,0.51792801423292734
2010,1610612754,Indiana Pacers,6821,3019,658,6696,0.98167424131359038,0.49083712065679519
2008,1610612762,Utah Jazz,6592,3279,407,6965,1.0565837378640777,0.52829186893203883
2006,1610612745,Houston Rockets,6252,2708,469,5885,0.9412987843889955,0.47064939219449775
2005,1610612751,New Jersey Nets,6419,2753,435,5941,0.92553357220750898,0.46276678610375449
2020,1610612764,Washington Wizards,6544,2990,864,6844,1.0458435207823962,0.52292176039119809
2017,1610612764,Washington Wizards,7129,3385,753,7523,1.0552672184037031,0.52763360920185154
2020,1610612755,Philadelphia 76ers,6417,3000,848,6848,1.0671653420601528,0.53358267103007639
2014,1610612740,New Orleans Pelicans,6761,3101,486,6688,0.98920278065374945,0.49460139032687472
2017,1610612754,Indiana Pacers,6918,3211,699,7121,1.029343740965597,0.5146718704827985
2015,1610612766,Charlotte Hornets,6932,2913,498,6324,0.91229082515868432,0.45614541257934216
2014,1610612757,Portland Trail Blazers,7134,3207,770,7184,1.007008690776563,0.50350434538828148
2009,1610612755,Philadelphia 76ers,6531,2997,341,6335,0.969989281886388,0.484994640943194
2009,1610612764,Washington Wizards,6655,2994,395,6383,0.9591284748309542,0.4795642374154771
2011,1610612762,Utah Jazz,6590,3064,435,6563,0.99590288315629738,0.49795144157814869
2023,1610612747,Los Angeles Lakers,7298,3516,885,7917,1.0848177582899425,0.54240887914497127
2007,1610612740,New Orleans/Oklahoma City Hornets,6674,2971,455,6397,0.9584956547797423,0.47924782738987115
2009,1610612759,San Antonio Spurs,6532,3041,624,6706,1.0266380894060012,0.5133190447030006
2005,1610612760,Seattle SuperSonics,6498,2882,666,6430,0.98953524161280393,0.49476762080640196
2010,1610612755,Philadelphia 76ers,6706,3087,474,6648,0.99135102892931704,0.49567551446465852
2012,1610612765,Detroit Pistons,5232,2291,317,4899,0.93635321100917435,0.46817660550458717
2011,1610612750,Minnesota Timberwolves,7014,3090,589,6769,0.96506986027944108,0.48253493013972054
2015,1610612749,Milwaukee Bucks,6722,3083,545,6711,0.99836358226718236,0.49918179113359118
2020,1610612752,New York Knicks,5896,2638,631,5907,1.0018656716417911,0.50093283582089554
2017,1610612760,Oklahoma City Thunder,7168,3236,691,7163,0.9993024553571429,0.49965122767857145
2014,1610612755,Philadelphia 76ers,7148,3108,577,6793,0.95033575825405703,0.47516787912702851
2007,1610612766,Charlotte Bobcats,6643,2960,457,6377,0.95995785036880932,0.47997892518440466
2021,1610612749,Milwaukee Bucks,6610,3221,1038,7480,1.1316187594553706,0.5658093797276853
2015,1610612748,Miami Heat,6330,2885,556,6326,0.99936808846761449,0.49968404423380725
2019,1610612739,Cleveland Cavaliers,7184,3189,847,7225,1.005707126948775,0.50285356347438748
2005,1610612750,Minnesota Timberwolves,6629,3045,395,6485,0.97827726655604164,0.48913863327802082
2008,1610612758,Sacramento Kings,6558,3043,510,6596,1.0057944495272948,0.5028972247636474
2006,1610612761,Toronto Raptors,6639,3013,608,6634,0.99924687452929661,0.49962343726464831
2005,1610612759,San Antonio Spurs,6450,2923,507,6353,0.98496124031007748,0.49248062015503874
2006,1610612739,Cleveland Cavaliers,6412,2908,497,6313,0.98456019962570185,0.49228009981285092
2005,1610612766,Charlotte Bobcats,6859,2961,320,6242,0.91004519609272494,0.45502259804636247
2007,1610612764,Washington Wizards,6820,3070,561,6701,0.98255131964809383,0.49127565982404692
2018,1610612743,Denver Nuggets,7102,3338,940,7616,1.0723739791607998,0.5361869895803999
2007,1610612757,Portland Trail Blazers,6392,2874,426,6174,0.96589486858573215,0.48294743429286607
2018,1610612747,Los Angeles Lakers,7248,3338,822,7498,1.0344922737306843,0.51724613686534215
2021,1610612760,Oklahoma City Thunder,6338,2795,857,6447,1.0171978542126854,0.50859892710634269
